カード番号,カード名,直近価格
s4a-198-190,マリィ [S4a 198/190],"44,833円"
s7r-077-067,サナ [S7R 077/067],"18,904円"
s4-111-100,ルリナ [S4 111/100],"12,000円"
sm5s-072-066,404 NOT FOUND,
s10d-078-067,ナタネの活気 [S10D 078/067],"9,619円"
s5r-079-070,コルニの気合い [S5R 079/070],"9,300円"
s6a-075-069,シャワーズV [S6a 075/069],"17,032円"
s4a-308-190,リザードンVMAX [S4a 308/190],
s5a-081-070,カリンの信念 [S5a 081/070],"5,178円"
s5a-081-070,カリンの信念 [S5a 081/070],
s5a-093-070,404 NOT FOUND,
s8b-277-184,ルリナ [S8b 277/184],"4,222円"
s8b-277-184,ルリナ [S8b 277/184],
s8b-261-184,サイトウ [S8b 261/184],"2,633円"
sm12a-214-173,404 NOT FOUND,
sm12a-177-173,404 NOT FOUND,
sm11b-074-049,404 NOT FOUND,
sm11b-069-049,404 NOT FOUND,
s5r-088-070,404 NOT FOUND,
s5r-074-070,404 NOT FOUND,
s7d-079-067,404 NOT FOUND,
sm7-102-096,404 NOT FOUND,
s4a-197-190,ポケモンごっこ [s4a 197/190],
s2-a06-096,404 NOT FOUND,
s9a-089-067,404 NOT FOUND,
s10b-011-071,かがやくリザードン [s10b 011/071],"1,500円"
